"Edit","Select Next C/C++ Element","Alt+Shift+→","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.select.next"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"Source","References","Ctrl+Shift+G","C/C++ Editor","org.eclipse.cdt.ui.search.findrefs"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected","org.eclipse.terminal.command1"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows","org.eclipse.ui.navigate.openResource"
"Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor","org.eclipse.cdt.ui.edit.open.quick.macro.explorer"
"Source","Go to Matching Bracket","Ctrl+Shift+P","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.goto.matching.bracket"
"Edit","Find Next","F3","Editing Text","org.eclipse.ui.edit.findNext"
"Language Servers","Open Call Hierarchy","Ctrl+Alt+H","in Generic Code Editor","org.eclipse.lsp4e.openCallHierarchy"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views","org.eclipse.cdt.ui.edit.open.type.hierarchy"
"Window","Preferences","Ctrl+,","Editing Text","org.eclipse.ui.window.preferences"
"UML2 Sequence Diagram Viewer Commands","Scroll right","Alt+Shift+→","UML2 Sequence Diagram Viewer","org.eclipse.linuxtools.tmf.ui.views.uml2sd.handlers.MoveSDRight"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"UML2 Sequence Diagram Viewer Commands","Scroll left","Alt+Shift+←","UML2 Sequence Diagram Viewer","org.eclipse.linuxtools.tmf.ui.views.uml2sd.handlers.MoveSDLeft"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected","org.eclipse.terminal.command1"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus","org.eclipse.terminal.paste"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows","org.eclipse.ui.views.showView"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Control in Focus","org.eclipse.terminal.copy"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskUnread"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"Run/Debug","Resume","F5","Debugging","org.eclipse.debug.ui.commands.Resume"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows","org.eclipse.search.ui.performTextSearchWorkspace"
"Source","References","Ctrl+Shift+G","In C/C++ Views","org.eclipse.cdt.ui.search.findrefs"
"Navigate","Previous Edit Location","Ctrl+Q","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Git","Commit...","Ctrl+#","In Windows","org.eclipse.egit.ui.team.Commit"
"TM4E Language Configuration","Toggle Line Comment","Ctrl+7","C/C++ Editor (LSP)","org.eclipse.tm4e.languageconfiguration.toggleLineCommentCommand"
"Run/Debug","Toggle Breakpoint","F9","In Windows","org.eclipse.debug.ui.commands.ToggleBreakpoint"
"Source","Add Block Comment","Ctrl+Shift+/","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.add.block.comment"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows","org.eclipse.debug.ui.commands.ToggleBreakpoint"
"Edit","Toggle Word Wrap","Alt+Shift+Y","Editing Text","org.eclipse.ui.edit.text.toggleWordWrap"
"Source","Open Declaration","F3","In C/C++ Views","org.eclipse.cdt.ui.edit.opendecl"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected","org.eclipse.terminal.command1"
"Views","Show View","Alt+Shift+Q, Q","In Windows","org.eclipse.ui.views.showView"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows","org.eclipse.ui.views.showView"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected","org.eclipse.terminal.command1"
"Tracing","Zoom out (selection)","-","In Time-Based View","org.eclipse.tracecompass.tmf.ui.command.zoomout.selection"
"Text Editing","Text End","Ctrl+End","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"UML2 Sequence Diagram Viewer Commands","Show node start ","Alt+Shift+Home","UML2 Sequence Diagram Viewer","org.eclipse.linuxtools.tmf.ui.views.uml2sd.handlers.ShowNodeStart"
"Uncategorized","EditBreakpointLabel","F2","In Windows","org.eclipse.debug.ui.commands.BreakpointLabelCommand"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","C/C++ Editor","org.eclipse.cdt.ui.edit.text.rename.element"
"Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor","org.eclipse.cdt.ui.edit.open.quick.macro.explorer"
"Source","Open Declaration","F3","In Macro Expansion Hover","org.eclipse.cdt.ui.edit.opendecl"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View","org.eclipse.debug.ui.commands.addMemoryMonitor"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows","org.eclipse.ui.window.showKeyAssist"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views","org.eclipse.cdt.ui.edit.open.call.hierarchy"
"Edit","Next Sibling","Ctrl+Shift+↓","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.nextSibling"
"Language Servers","Restore To Last Selection","Alt+Shift+↓","in Generic Code Editor","org.eclipse.lsp4e.selectionRange.down"
"Run/Debug","Run to Line","Ctrl+F10","In Windows","org.eclipse.debug.ui.commands.RunToLine"
